epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,16463.8,1.00881,0.88593,0.01137,0.76275,0.71835,0.73206,0.50199,1.08914,1.14638,0.01597,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,16634.1,1.00481,0.88028,0.01125,0.76975,0.71789,0.73585,0.50502,1.08183,1.12654,0.01603,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,16804.2,1.01104,0.88822,0.0113,0.76866,0.72591,0.73998,0.50533,1.07424,1.11719,0.01594,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,16973.2,0.99734,0.87558,0.01118,0.7702,0.7112,0.73081,0.50325,1.08669,1.10417,0.01642,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,17143.7,1.00986,0.88188,0.01128,0.75361,0.72821,0.73453,0.51075,1.07186,1.11934,0.01616,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,17312.7,0.99723,0.87827,0.01125,0.76779,0.71139,0.72752,0.50161,1.0766,1.16067,0.01615,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,17482.6,0.99469,0.87463,0.01101,0.76177,0.7217,0.73354,0.50575,1.09623,1.13197,0.01661,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,17653.1,0.99082,0.87744,0.01107,0.78132,0.7045,0.73872,0.50677,1.08743,1.13566,0.01633,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,17822.7,0.97564,0.85471,0.01094,0.77571,0.71693,0.73321,0.50553,1.104,1.15537,0.01673,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,17992.3,0.98183,0.858,0.01096,0.78761,0.7068,0.72573,0.5043,1.09452,1.14454,0.01647,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,18162,0.97124,0.83767,0.01072,0.76605,0.71803,0.7295,0.50695,1.08633,1.15302,0.01624,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,18332.3,0.9761,0.85329,0.01085,0.77469,0.71962,0.73365,0.51043,1.09127,1.17653,0.01641,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,18502.9,0.96717,0.82695,0.01068,0.75706,0.71786,0.72827,0.50529,1.09778,1.15074,0.01655,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,18672.5,0.96417,0.83418,0.01074,0.78334,0.70614,0.73638,0.51489,1.08114,1.1472,0.01618,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,18842.1,0.97417,0.8521,0.01088,0.79161,0.70116,0.73016,0.5085,1.08677,1.16716,0.01641,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,19012.5,0.95996,0.83769,0.01075,0.77354,0.71363,0.73482,0.50938,1.08707,1.15972,0.01633,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,19182.1,0.96157,0.83292,0.01068,0.7907,0.70429,0.7327,0.50825,1.09508,1.16171,0.01647,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,19352.7,0.956,0.82367,0.01059,0.78598,0.71722,0.73176,0.50439,1.0909,1.15372,0.01628,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,19523.2,0.95458,0.81481,0.01052,0.76043,0.71861,0.72822,0.50501,1.09467,1.15897,0.01656,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,19693,0.96256,0.84225,0.01077,0.74606,0.73542,0.73544,0.50507,1.10293,1.14163,0.01667,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,19862.3,0.94596,0.81814,0.01055,0.74691,0.71913,0.72995,0.50086,1.09762,1.1621,0.0166,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
107,20031.9,0.9486,0.80988,0.01041,0.73506,0.73454,0.73131,0.50313,1.09836,1.17677,0.01679,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,20202.4,0.93718,0.79965,0.01038,0.75809,0.72287,0.72783,0.50497,1.09175,1.17047,0.01665,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,20372.3,0.94359,0.80251,0.01041,0.80263,0.69916,0.73704,0.5116,1.08498,1.16132,0.01652,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,20542.1,0.92638,0.79277,0.01024,0.8078,0.69598,0.73288,0.51028,1.0836,1.13858,0.01642,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,20710.5,0.94445,0.80777,0.01033,0.79064,0.70012,0.73257,0.51134,1.07351,1.15541,0.01605,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,20880.2,0.92662,0.7829,0.01033,0.79255,0.70138,0.73518,0.50985,1.07879,1.15412,0.01616,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,21050.6,0.92753,0.78497,0.01016,0.7854,0.70837,0.73617,0.5098,1.07439,1.1512,0.01603,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,21220.8,0.90705,0.75477,0.00991,0.78411,0.71965,0.73305,0.50728,1.07681,1.13643,0.01611,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,21389.7,0.9199,0.77847,0.01019,0.77807,0.73263,0.73654,0.50883,1.074,1.15313,0.01596,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,21558.9,0.91596,0.76914,0.00996,0.78333,0.71766,0.7354,0.50986,1.07412,1.15094,0.01599,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,21729.4,0.90037,0.75867,0.00993,0.76372,0.73236,0.73547,0.50924,1.07691,1.16339,0.01609,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,21899.5,0.90452,0.75451,0.00996,0.79437,0.70448,0.72985,0.50611,1.07451,1.16541,0.01609,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,22070.6,0.90031,0.7626,0.00991,0.7794,0.71516,0.7284,0.50431,1.08568,1.18038,0.01649,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
